ID,What is your age?,How many individuals live in your household for which you are responsible for food expenditures (excluding yourself)?,What state do you live in?,What currency are you reporting your food expenditures in?,What was your total food expenditure in the last week?,What was your total food expenditures at grocery stores in the last week?,What was your food expenditure while dining out in the last week?,What was your food expenditure (miscellaneous) in the last week?,How many times did you dine out last week?,Are you including alcohol in your food expenditures?,"What food assistance programs, if any, did you use for your food expenditures last week?"
1,68,7,LA,USD,436.35,168.59,140.71,109.77,4,Yes,None
2,88,5,WA,USD,,452.1,192.94,,1,Unknown,SNAP
3,82,3,MS,USD,279.1,301.66,239.84,103.94,9,Yes,None
4,73,8,AK,USD,-20.98,139.66,69.19,44.84,2,Unknown,None
5,89,0,IN,USD,494.87,,191.72,172.31,3,Yes,None
6,18,6,WI,EUR,276.32,394.44,283.2,114.06,6,Unknown,Food Pantry
7,38,4,DC,USD,318.79,153.49,104.05,39.21,1,Yes,SNAP
8,28,8,ID,USD,304.52,286.7,,24.61,10,No,None
9,16,4,SC,USD,325.71,484.22,289.89,145.01,1,,WIC
10,84,1,HI,USD,332.08,236.68,105.59,38.86,9,Unknown,None
11,46,1,ND,USD,-201.52,40.54,10.57,40.24,1,No,None
12,29,5,UT,USD,622.58,144.16,58.5,14.73,5,No,None
13,90,7,DC,USD,292.08,168.88,64.77,29.12,8,Yes,SNAP
14,22,5,NV,USD,505.11,381.19,121.2,76.45,8,No,None
15,70,6,WA,USD,311.84,212.63,93.26,111.79,30,Yes,SNAP
16,3,1,ME,USD,555.39,280.91,63.78,,0,N,None
17,31,8,WI,USD,529.38,139.08,,24.01,2,Unknown,None
18,23,12,VA,USD,404.6,243.86,159.71,94.78,10,No,None
19,86,6,RI,USD,561.31,444.56,186.67,,6,Unknown,Food Pantry
20,81,7,MT,USD,604.2,254.94,152.27,145.16,10,No,None
21,51,1,AK,USD,794.98,409.4,123.04,132.14,1,No,Food Pantry
22,70,4,IL,USD,284.72,197.66,122.72,66.61,2,No,None
23,39,3,PA,EUR,184.15,280.08,149.95,76.74,5,Unknown,None
24,79,6,OR,USD,789.86,269.49,199.48,154.01,9,Yes,School Meals
25,33,7,WA,USD,141.85,265.9,58.71,203.34,9,No,None
26,19,1,CT,USD,865.36,438.04,148.28,,10,Yes,Food Pantry
27,47,12,GA,USD,457.64,220.24,63.68,181.99,1,Yes,None
28,42,5,NV,EUR,762.41,266.37,142.55,184.82,9,No,None
29,48,12,MT,USD,514.22,105.19,48.59,47.8,15,Yes,None
30,85,12,NC,USD,431.93,244.75,130.94,131.07,20,Yes,Food Pantry
31,59,6,TX,USD,44.13,347.12,58.75,146.84,8,Yes,SNAP
32,48,12,NE,USD,~350,227.74,78.38,55.25,7,No,None
33,37,7,NY,USD,-25,66.24,30.79,,7,No,None
34,58,6,CO,USD,398.68,186.02,123.6,153.23,10,Yes,SNAP
35,79,0,DC,USD,477.72,237.4,,32.02,20,Yes,None
36,75,8,WY,USD,346.09,429.12,240.54,208.01,5,Unknown,WIC
37,150,0,IL,USD,-25,64.36,13.93,59.46,6,,None
38,58,8,IA,CAD,852.93,216.58,95.28,125.48,8,N,None
39,23,1,NV,USD,366,248.39,61.93,123.18,30,Yes,None
40,61,0,DC,CAD,156.05,388.4,162.57,81.65,9,Yes,?
41,68,4,FL,USD,113.97,139.72,67.64,17.44,7,,None
42,58,7,SC,CAD,366.45,79.78,39.53,52.27,5,No,SNAP
43,62,2,AZ,USD,358.13,161.24,118.86,33.27,3,Y,None
44,77,1,NM,USD,654.01,278.24,185.93,77.01,30,,None
45,46,0,WA,EUR,364.97,458.23,186.53,135.61,1,,None
46,51,0,AL,CAD,,350.09,81.04,327.59,2,Yes,None
47,30,5,MI,USD,0.46,198.3,56.36,184.63,2,No,None
51,21,1,NV,USD,0,175.13,101.38,155.85,4,No,None
52,31,5,IL,USD,574.63,135.49,99.38,20.42,9,No,None
53,27,1,MN,USD,481.04,381.95,207.97,57.9,1,Yes,None
54,67,4,NV,USD,-25,373.16,184.65,-22.47,2,N,None
55,24,3,WI,USD,257.59,62.73,34.88,52.37,7,No,SNAP
56,15,2,WV,USD,537.65,226.99,131.19,-19.81,20,Yes,None
57,38,1,,USD,434.91,253.2,45.38,70.11,0,No,None
58,67,8,OH,USD,427.24,34.22,21.13,5.64,10,Yes,Food Pantry
59,42,0,LA,USD,-25,155.34,98.89,80.35,15,Yes,None
60,65,7,NJ,CAD,200.74,213.79,175.49,94.52,10,No,None
61,22,3,OK,USD,253.33,360.63,103.6,-0.02,3,No,School Meals
62,21,3,ME,USD,151.63,184.29,163.52,66.11,8,Yes,None
64,74,6,RI,USD,331.69,172.17,76.16,60.66,15,Yes,None
65,34,1,AL,USD,377.16,123.85,66.73,53.43,0,No,School Meals
66,44,5,WV,USD,808.2,453.84,134.64,,10,Yes,None
67,81,0,FL,CAD,299.44,152.47,70.78,103.36,2,Y,None
68,73,0,CA,USD,903.34,535.71,177.89,,15,Yes,None
69,65,4,,USD,300.85,215.11,162.36,127.87,4,Yes,None
70,74,8,AL,USD,554.75,101.25,32.45,30.16,4,Yes,None
71,,0,XX,USD,0,6.92,4.02,5.22,3,No,None
72,66,8,NE,CAD,438.77,424.7,104.74,89.23,7,Unknown,Food Pantry
73,42,0,KS,USD,10.69,429.88,114.11,,5,No,None
74,18,2,UT,USD,-25,312.83,174.82,-1.68,8,Yes,?
